capture,visible_rows,bounds_checks,overlap_issues
light-compact-m-portrait,4,20,0
light-compact-m-landscape,2,10,0
light-compact-xs-portrait,6,26,0
light-compact-xs-landscape,3,12,0
light-compact-s-portrait,5,22,0
light-compact-s-landscape,3,12,0
light-compact-l-portrait,4,17,0
light-compact-l-landscape,2,10,0
light-compact-xl-portrait,4,16,0
light-compact-xl-landscape,2,7,0
light-comfortable-xs-portrait,5,21,0
light-comfortable-xs-landscape,2,10,0
light-comfortable-s-portrait,4,17,0
light-comfortable-s-landscape,2,10,0
light-comfortable-m-portrait,4,16,0
light-comfortable-m-landscape,2,7,0
light-comfortable-l-portrait,3,15,0
light-comfortable-l-landscape,2,7,0
light-comfortable-xl-portrait,3,12,0
light-comfortable-xl-landscape,2,6,0
dark-compact-xs-portrait,6,26,0
dark-compact-xs-landscape,3,12,0
dark-compact-s-portrait,5,22,0
dark-compact-s-landscape,3,12,0
dark-compact-m-portrait,4,20,0
dark-compact-m-landscape,3,11,0
dark-compact-l-portrait,4,17,0
dark-compact-l-landscape,2,10,0
dark-compact-xl-portrait,4,16,0
dark-compact-xl-landscape,2,7,0
dark-comfortable-xs-portrait,5,21,0
dark-comfortable-xs-landscape,2,10,0
dark-comfortable-s-portrait,4,17,0
dark-comfortable-s-landscape,2,10,0
dark-comfortable-m-portrait,4,16,0
dark-comfortable-m-landscape,2,7,0
dark-comfortable-l-portrait,3,15,0
dark-comfortable-l-landscape,2,7,0
dark-comfortable-xl-portrait,3,12,0
dark-comfortable-xl-landscape,2,6,0
black-compact-xs-portrait,6,26,0
black-compact-xs-landscape,3,12,0
black-compact-s-portrait,5,22,0
black-compact-s-landscape,3,12,0
black-compact-m-portrait,4,20,0
black-compact-m-landscape,3,11,0
black-compact-l-portrait,4,17,0
black-compact-l-landscape,2,10,0
black-compact-xl-portrait,4,16,0
black-compact-xl-landscape,2,7,0
black-comfortable-xs-portrait,5,21,0
black-comfortable-xs-landscape,2,10,0
black-comfortable-s-portrait,4,17,0
black-comfortable-s-landscape,2,10,0
black-comfortable-m-portrait,4,16,0
black-comfortable-m-landscape,2,7,0
black-comfortable-l-portrait,3,15,0
black-comfortable-l-landscape,2,7,0
black-comfortable-xl-portrait,3,12,0
black-comfortable-xl-landscape,2,6,0
sepia-compact-xs-portrait,6,26,0
sepia-compact-xs-landscape,3,12,0
sepia-compact-s-portrait,5,22,0
sepia-compact-s-landscape,3,12,0
sepia-compact-m-portrait,4,20,0
sepia-compact-m-landscape,3,11,0
sepia-compact-l-portrait,4,17,0
sepia-compact-l-landscape,2,10,0
sepia-compact-xl-portrait,4,16,0
sepia-compact-xl-landscape,2,7,0
sepia-comfortable-xs-portrait,5,21,0
sepia-comfortable-xs-landscape,2,10,0
sepia-comfortable-s-portrait,4,17,0
sepia-comfortable-s-landscape,2,10,0
sepia-comfortable-m-portrait,4,16,0
sepia-comfortable-m-landscape,2,7,0
sepia-comfortable-l-portrait,3,15,0
sepia-comfortable-l-landscape,2,7,0
sepia-comfortable-xl-portrait,3,12,0
sepia-comfortable-xl-landscape,2,6,0
