capture,visible_rows,bounds_checks,overlap_issues
xl-thumbnail-left-small-portrait,4,16,0
xl-thumbnail-left-small-landscape,2,7,0
xl-thumbnail-left-large-portrait,4,16,0
xl-thumbnail-left-large-landscape,2,7,0
xl-thumbnail-right-small-portrait,4,16,0
xl-thumbnail-right-small-landscape,2,7,0
xl-thumbnail-none-portrait,4,17,0
xl-thumbnail-none-landscape,2,10,0
xl-preview-none-portrait,5,13,0
xl-preview-none-landscape,3,9,0
xl-preview-small-portrait,4,20,0
xl-preview-small-landscape,2,10,0
xl-preview-large-portrait,3,12,0
xl-preview-large-landscape,2,6,0
grid-c-xs-portrait,1,2,0
grid-c-xs-landscape,2,4,0
grid-c-s-portrait,1,2,0
grid-c-s-landscape,2,4,0
grid-c-m-portrait,1,2,0
grid-c-m-landscape,2,4,0
grid-c-l-portrait,1,2,0
grid-c-l-landscape,2,4,0
grid-c-xl-portrait,2,2,0
grid-c-xl-landscape,2,4,0
grid_m-xl-portrait,6,12,0
grid_m-xl-landscape,3,6,0
grid_f-xl-portrait,15,24,0
grid_f-xl-landscape,10,10,0
legacy-xxl-portrait,3,12,0
legacy-xxl-landscape,1,5,0
single-feed-xl-portrait,4,16,0
single-feed-xl-landscape,2,5,0
folder-xl-portrait,6,18,0
folder-xl-landscape,2,8,0
read-light-m-portrait,4,20,0
read-dark-m-portrait,5,22,0
read-black-m-portrait,5,22,0
read-sepia-m-portrait,5,22,0
saved-xs-portrait,10,28,0
saved-xs-landscape,5,13,0
saved-xl-portrait,6,16,0
saved-xl-landscape,3,9,0
system-font-130-xl-compact-portrait,3,12,0
system-font-130-xl-compact-landscape,2,6,0
system-font-130-xl-comfortable-portrait,3,11,0
system-font-130-xl-comfortable-landscape,1,5,0
